estimated_owners,rating,game_name,developer,publisher
500000,84.31,Cyberdimension Neptunia: 4 Goddesses Online,"IDEA FACTORY, COMPILE HEART, TAMSOFT",Idea Factory International
200000,71.52,ELEX II,Piranha Bytes,THQ Nordic
200000,87.91,Curious Expedition,Maschinen-Mensch,"Maschinen-Mensch, Saftladen Berlin"
200000,79.53,Barn Finders,Duality Games,"Duality Games, PlayWay S.A., HeartBeat Games"
500000,82.36,BEEP,Big Fat Alien,Big Fat Alien
200000,75.22,Seek Girl,DSGame,DSGame
100000,85.31,SCP: Secret Files,GameZoo Studio,Pixmain
100000,85.84,Zompiercer,DDDimanN,DDDimanN
20000,88.61,Tavern Manager Simulator 🍻,One More Time,One More Time
200000,89.30,Farming Simulator 2013 Titanium Edition,Giants Software,Giants Software
100000,82.59,Survival: Fountain of Youth,Odinsoft Inc.,"Twin Sails Interactive, CE-Asia"
200000,85.12,Murky Divers,Embers,Embers
500000,75.98,Moon Hunters,Kitfox Games,Kitfox Games
200000,73.27,Force of Nature,A.Y.std,A.Y.std
100000,81.10,Ni no Kuni Wrath of the White Witch™ Remastered,"LEVEL5 Inc., QLOC",BANDAI NAMCO Entertainment
200000,51.87,Police Simulator: Patrol Duty,Bigmoon Entertainment,Bigmoon Entertainment
200000,82.46,I Am Future: Cozy Apocalypse Survival,Mandragora,tinyBuild
500000,90.00,Shadow Tactics: Aiko's Choice,Mimimi Games,Daedalic Entertainment
500000,43.19,WWE 2K20,Visual Concepts,2K
200000,82.48,Sacred Gold,Studio II,THQ Nordic
50000,76.42,Legend of Keepers: Career of a Dungeon Manager,Goblinz Studio,Goblinz Publishing
200000,82.31,Dealer's Life 2,Abyte Entertainment,Abyte Entertainment
20000,91.06,HUNTDOWN,Easy Trigger Games,Coffee Stain Publishing
200000,76.94,SimAirport,LVGameDev LLC,LVGameDev LLC
50000,78.53,BMX Streets,Mash Games,Mash Games
100000,61.70,Taxi Life: A City Driving Simulator,Simteract,Nacon
100000,94.94,Picayune Dreams,"Stepford, Andyland, milkypossum",2 Left Thumbs
100000,92.32,Cobalt Core,Rocket Rat Games,Brace Yourself Games
100000,90.16,Tiny Snow,#workshop,NVLMaker
200000,83.05,Void Bastards,Blue Manchu,Blue Manchu
100000,65.93,Garten of Banban 2,Euphoric Brothers,Euphoric Brothers
50000,92.06,Fate/stay night REMASTERED,"TYPE-MOON, fuzz Inc.",Aniplex Inc.
200000,69.77,Orcs Must Die! Deathtrap,Robot Entertainment,Robot Entertainment
200000,81.56,Lightyear Frontier,FRAME BREAK,"FRAME BREAK, Coffee Stain Publishing"
200000,49.52,Blood Bowl 3,Cyanide Studio,Nacon
500000,85.55,Syberia,Microids,Microids
200000,78.54,SENRAN KAGURA Peach Beach Splash,Tamsoft,"XSEED Games, Marvelous USA Inc., Marvelous"
100000,91.59,When The Past Was Around,Mojiken,Toge Productions
200000,87.23,Dig or Die,Gaddy Games,Gaddy Games
500000,62.90,Two Worlds II HD,Reality Pump Studios,"Topware Interactive, ACE"
200000,72.48,171,Betagames Group,Betagames Group
50000,92.52,Beyond Citadel,doekuramori,doekuramori
200000,68.58,Bus Simulator 21 Next Stop,stillalive studios,astragon Entertainment
200000,85.66,PICO PARK 2,"TECOPARK, Gemdrops Inc.",TECOPARK
200000,82.16,Project Highrise,SomaSim,Kasedo Games
20000,87.85,月华辉映之刻,侠客狗工作室,侠客狗工作室
200000,89.36,Wytchwood,Alientrap,Alientrap
200000,76.08,Weird West: Definitive Edition,WolfEye Studios,Devolver Digital
20000,88.40,Fever Meme,Aimbok,Aimbok
100000,90.17,Return to Shironagasu Island,HYOGO ONIMUSHI,TABINOMICHI
100000,88.36,My Vow to My Liege,YETU GAME,方块游戏(CubeGame)
500000,86.01,Curious Expedition 2,Maschinen-Mensch,Maschinen-Mensch
200000,93.48,Sword and Fairy,SOFTSTAR ENTERTAINMENT,SOFTSTAR ENTERTAINMENT
100000,84.60,Pathologic Classic HD,"Ice-Pick Lodge, General Arcade",Good Shepherd Entertainment
500000,91.76,Alien Shooter,Sigma Team Inc.,Sigma Team Inc.
100000,64.86,Gigantic: Rampage Edition,Abstraction Games,Arc Games
20000,81.42,Moonstone Island,Studio Supersoft,Raw Fury
500000,86.50,Legend Creatures(传奇生物),HideChara,HideChara
500000,86.88,HYPERCHARGE: Unboxed,Digital Cybercherries,Digital Cybercherries
100000,64.95,Three Kingdoms Zhao Yun,ZUIJIANGYUE Game,"Merlion Games, ETime Studio"
200000,72.09,Phantom Doctrine,CreativeForge Games,Good Shepherd Entertainment
200000,70.30,Megaloot,axilirate,"Ravenage Games, Sidekick Publishing"
200000,74.95,RUSSIA BATTLEGROUNDS,Agafonoff,Agafonoff
100000,77.35,Hello Neighbor 2,"Eerie Guest, tinyBuild",tinyBuild
200000,77.67,Immortal Life,YiFang Studio,2P Games
50000,76.95,MX vs ATV Legends,Rainbow Studios,THQ Nordic
200000,90.11,Melty Blood Actress Again Current Code,FRENCH-BREAD,Arc System Works
500000,84.05,Xenonauts,Goldhawk Interactive,Goldhawk Interactive
500000,92.36,Supraland Six Inches Under,Supra Games,Supra Games
200000,74.32,Zero Caliber VR,XREAL Games,XREAL Games
200000,85.17,Rising Front,Sandstorm Studios Inc.,Sandstorm Studios Inc.
200000,81.65,Fox Hime,AsicxArt,SakuraGame
200000,84.96,Colony Ship: A Post-Earth Role Playing Game,Iron Tower Studio,Iron Tower Studio
2000000,84.60,The Tiny Bang Story,Colibri Games,Colibri Games
500000,92.69,Civilization IV: Beyond the Sword,Firaxis Games,2K
200000,85.73,Street Legal Racing: Redline v2.3.1,"Invictus Games Ltd., ImageCode","Activision Value Publishing Inc., ImageCode"
200000,93.42,SuchArt: Genius Artist Simulator,Goose Minded,HypeTrain Digital
200000,93.25,Spin Rhythm XD,Super Spin Digital,Super Spin Digital
500000,64.89,Zenith: Nexus,Ramen VR,Ramen VR
200000,90.86,Bloodstained: Curse of the Moon,INTI CREATES CO. Ltd.,INTI CREATES CO. Ltd.
200000,79.95,Yu-Gi-Oh! Legacy of the Duelist : Link Evolution,Other Ocean Emeryville,KONAMI
50000,92.06,Ropuka's Idle Island,"Moczan, Little Chmura, Begoña Pereda",Moczan
100000,90.52,Staffer Case: A Supernatural Mystery Adventure,Team Tetrapod,Team Tetrapod
100000,86.23,Fantasy Map Simulator,The Stranger,The Stranger
500000,49.94,"Warhammer 40,000: Eternal Crusade",Behaviour Interactive Inc.,Behaviour Interactive Inc.
100000,78.24,Xenonauts 2,Goldhawk Interactive,Hooded Horse
